name,tags,stars,awards
9a8219a087f481414ef986e2b76fc358.jpg,composition composition|contrast composition|subject lighting lighting|contrast,2,
Screenshot_from_2023_10_09_23_42_23.jpg,lighting lighting|colors lighting|contrast mood sharpness,4,e_lighting|colors
375219895_185901554523001_2307745749798827576_n.jpg,composition composition|subject lighting lighting|colors,3,e_composition|subject wallpaper
7n56745n754n75n.jpg,lighting lighting|colors mood,3,e_lighting
Screenshot_from_2023_02_23_19_26_20.jpg,lighting lighting|colors lighting|contrast mood sharpness,4,e_lighting e_lighting|colors e_lighting|contrast
48211457f64fe313cbed60995360bb97.jpg,composition composition|balance composition|subject,3,
7b3034aa37fe6af5b8d1ec770d8d2bf5.jpg,composition composition|negative_space composition|subject lighting lighting|colors mood,4,
af8d0e6ce5a313501000c9577f0376b6.jpg,lighting lighting|colors,3,
FfQOZ8GacAA2n4C.jpeg,composition composition|contrast lighting lighting|colors lighting|contrast mood sharpness,5,e_lighting e_lighting|contrast e_sharpness wow_lighting
kitten_hearteyes.mp4,composition composition|subject mood,3,
pink_field.jpg,composition composition|negative_space composition|subject lighting lighting|colors,3,
0f676f3db6ca3449fb60590a09ef62e8.jpg,composition composition|balance composition|subject,3,
